A C 39.3346032
A C 39.3810431
A C 39.4274830
A C 39.4739229
A C 39.5203628
A C 39.5668027
A C 39.6132426
A C 39.6596825
A C 39.7061224
A C 39.7525624
A C 39.7990023
A C 39.8454422
A C 39.8918821
A C 39.9383220
A C 39.9847619
A C 40.0312018
A C 40.0776417
A C 40.1240816
A C 40.1705215
A C 40.2169615
A C 40.2634014
A C 40.3098413
H G 40.3562812
H G 40.4027211
H G 40.4491610
H G 40.4956009
H G 40.5420408
H G 40.5884807
H G 40.6349206
H G 40.6813605
H G 40.7278005
H G 40.7742404
H G 40.8206803
H G 40.8671202
H G 40.9135601
H G 40.9600000
H G 41.0064399
H G 41.0528798
J A 41.0993197
J A 41.1457596
J A 41.1921995
J A 41.2386395
J A 41.2850794
J A 41.3315193
J A 41.3779592
J A 41.4243991
V Am 41.4708390
V Am 41.5172789
V Am 41.5637188
V Am 41.6101587
V Am 41.6565986
V Am 41.7030385
V Am 41.7494785
V Am 41.7959184
C D 41.8423583
C D 41.8887982
C D 41.9352381
C D 41.9816780
C D 42.0281179
C D 42.0745578
C D 42.1209977
C D 42.1674376
C D 42.2138776
C D 42.2603175
C D 42.3067574
C D 42.3531973
C D 42.3996372
C D 42.4460771
C D 42.4925170
C D 42.5389569
C D 42.5853968
C D 42.6318367
C D 42.6782766
C D 42.7247166
C D 42.7711565
C D 42.8175964
C D 42.8640363
C D 42.9104762
C D 42.9569161
C D 43.0033560
C D 43.0497959
C D 43.0962358
C D 43.1426757
H G 43.1891156
H G 43.2355556
H G 43.2819955
H G 43.3284354
H G 43.3748753
H G 43.4213152
H G 43.4677551
H G 43.5141950
H G 43.5606349
H G 43.6070748
H G 43.6535147
H G 43.6999546
H G 43.7463946
H G 43.7928345
H G 43.8392744
H G 43.8857143
H G 43.9321542
H G 43.9785941
H G 44.0250340
H G 44.0714739
H G 44.1179138
H G 44.1643537
H G 44.2107937
H G 44.2572336
H G 44.3036735
H G 44.3501134
H G 44.3965533
H G 44.4429932
H G 44.4894331
H G 44.5358730
H G 44.5823129
H G 44.6287528
H G 44.6751927
H G 44.7216327
H G 44.7680726
J A 44.8145125
J A 44.8609524
J A 44.9073923
J A 44.9538322
J A 45.0002721
J A 45.0467120
J A 45.0931519
J A 45.1395918
J A 45.1860317
J A 45.2324717
J A 45.2789116
J A 45.3253515
J A 45.3717914
J A 45.4182313
J A 45.4646712
J A 45.5111111
J A 45.5575510
J A 45.6039909
J A 45.6504308
J A 45.6968707
J A 45.7433107
J A 45.7897506
J A 45.8361905
J A 45.8826304
J A 45.9290703
J A 45.9755102
J A 46.0219501
J A 46.0683900
J A 46.1148299
J A 46.1612698
J A 46.2077098
J A 46.2541497
J A 46.3005896
J A 46.3470295
J A 46.3934694
J A 46.4399093
J A 46.4863492
J A 46.5327891
J A 46.5792290
J A 46.6256689
J A 46.6721088
J A 46.7185488
J A 46.7649887
J A 46.8114286
J A 46.8578685
J A 46.9043084
J A 46.9507483
J A 46.9971882
J A 47.0436281
J A 47.0900680
J A 47.1365079
J A 47.1829478
J A 47.2293878
J A 47.2758277
J A 47.3222676
J A 47.3687075
J A 47.4151474
J A 47.4615873
J A 47.5080272
J A 47.5544671
J A 47.6009070
J A 47.6473469
J A 47.6937868
J A 47.7402268
J A 47.7866667
J A 47.8331066
J A 47.8795465
J A 47.9259864
J A 47.9724263
J A 48.0188662
J A 48.0653061
J A 48.1117460
J A 48.1581859
J A 48.2046259
J A 48.2510658
J A 48.2975057
J A 48.3439456
J A 48.3903855
J A 48.4368254
J A 48.4832653
J A 48.5297052
J A 48.5761451
J A 48.6225850
J A 48.6690249
J A 48.7154649
J A 48.7619048
J A 48.8083447
J A 48.8547846
J A 48.9012245
J A 48.9476644
J A 48.9941043
J A 49.0405442
J A 49.0869841
J A 49.1334240
J A 49.1798639
J A 49.2263039
J A 49.2727438
J A 49.3191837
J A 49.3656236
J A 49.4120635
J A 49.4585034
J A 49.5049433
J A 49.5513832
J A 49.5978231
J A 49.6442630
N C#m 49.6907029
N C#m 49.7371429
N C#m 49.7835828
N C#m 49.8300227
N C#m 49.8764626
N C#m 49.9229025
N C#m 49.9693424
N C#m 50.0157823
N C#m 50.0622222
N C#m 50.1086621
N C#m 50.1551020
N C#m 50.2015420
N C#m 50.2479819
N C#m 50.2944218
N C#m 50.3408617
N C#m 50.3873016
N C#m 50.4337415
N C#m 50.4801814
N C#m 50.5266213
N C#m 50.5730612
N C#m 50.6195011
N C#m 50.6659410
N C#m 50.7123810
N C#m 50.7588209
N C#m 50.8052608
N C#m 50.8517007
N C#m 50.8981406
N C#m 50.9445805
N C#m 50.9910204
N C#m 51.0374603
N C#m 51.0839002
N C#m 51.1303401
N C#m 51.1767800
N C#m 51.2232200
N C#m 51.2696599
N C#m 51.3160998
N C#m 51.3625397
N C#m 51.4089796
N C#m 51.4554195
N C#m 51.5018594
N C#m 51.5482993
N C#m 51.5947392
N C#m 51.6411791
N C#m 51.6876190
N C#m 51.7340590
N C#m 51.7804989
N C#m 51.8269388
N C#m 51.8733787
N C#m 51.9198186
N C#m 51.9662585
N C#m 52.0126984
N C#m 52.0591383
N C#m 52.1055782
N C#m 52.1520181
N C#m 52.1984580
N C#m 52.2448980
N C#m 52.2913379
N C#m 52.3377778
N C#m 52.3842177
N C#m 52.4306576
V Am 52.4770975
V Am 52.5235374
V Am 52.5699773
V Am 52.6164172
V Am 52.6628571
V Am 52.7092971
V Am 52.7557370
V Am 52.8021769
V Am 52.8486168
V Am 52.8950567
V Am 52.9414966
V Am 52.9879365
V Am 53.0343764
V Am 53.0808163
V Am 53.1272562
V Am 53.1736961
V Am 53.2201361
V Am 53.2665760
V Am 53.3130159
V Am 53.3594558
V Am 53.4058957
V Am 53.4523356
V Am 53.4987755
V Am 53.5452154
V Am 53.5916553
V Am 53.6380952
V Am 53.6845351
V Am 53.7309751
V Am 53.7774150
V Am 53.8238549
V Am 53.8702948
V Am 53.9167347
V Am 53.9631746
V Am 54.0096145
V Am 54.0560544
V Am 54.1024943
V Am 54.1489342
V Am 54.1953741
V Am 54.2418141
V Am 54.2882540
V Am 54.3346939
V Am 54.3811338
V Am 54.4275737
V Am 54.4740136
V Am 54.5204535
V Am 54.5668934
V Am 54.6133333
V Am 54.6597732
V Am 54.7062132
V Am 54.7526531
V Am 54.7990930
C D 54.8455329
C D 54.8919728
C D 54.9384127
C D 54.9848526
C D 55.0312925
C D 55.0777324
C D 55.1241723
C D 55.1706122
C D 55.2170522
C D 55.2634921
C D 55.3099320
C D 55.3563719
C D 55.4028118
C D 55.4492517
C D 55.4956916
C D 55.5421315
C D 55.5885714
C D 55.6350113
C D 55.6814512
C D 55.7278912
C D 55.7743311
C D 55.8207710
C D 55.8672109
C D 55.9136508
C D 55.9600907
C D 56.0065306
C D 56.0529705
C D 56.0994104
C D 56.1458503
V Am 56.1922902
V Am 56.2387302
V Am 56.2851701
V Am 56.3316100
V Am 56.3780499
V Am 56.4244898
V Am 56.4709297
V Am 56.5173696
V Am 56.5638095
V Am 56.6102494
V Am 56.6566893
V Am 56.7031293
V Am 56.7495692
V Am 56.7960091
V Am 56.8424490
V Am 56.8888889
V Am 56.9353288
V Am 56.9817687
V Am 57.0282086
V Am 57.0746485
V Am 57.1210884
V Am 57.1675283
V Am 57.2139683
V Am 57.2604082
V Am 57.3068481
V Am 57.3532880
V Am 57.3997279
V Am 57.4461678
V Am 57.4926077
V Am 57.5390476
V Am 57.5854875
V Am 57.6319274
V Am 57.6783673
V Am 57.7248073
V Am 57.7712472
V Am 57.8176871
V Am 57.8641270
V Am 57.9105669
V Am 57.9570068
V Am 58.0034467
V Am 58.0498866
V Am 58.0963265
Q Em 58.1427664
Q Em 58.1892063
Q Em 58.2356463
Q Em 58.2820862
Q Em 58.3285261
Q Em 58.3749660
Q Em 58.4214059
Q Em 58.4678458
Q Em 58.5142857
Q Em 58.5607256
Q Em 58.6071655
Q Em 58.6536054
Q Em 58.7000454
Q Em 58.7464853
Q Em 58.7929252
Q Em 58.8393651
Q Em 58.8858050
Q Em 58.9322449
Q Em 58.9786848
Q Em 59.0251247
Q Em 59.0715646
Q Em 59.1180045
Q Em 59.1644444
Q Em 59.2108844
Q Em 59.2573243
Q Em 59.3037642
Q Em 59.3502041
Q Em 59.3966440
Q Em 59.4430839
Q Em 59.4895238
Q Em 59.5359637
Q Em 59.5824036
Q Em 59.6288435
Q Em 59.6752834
Q Em 59.7217234
Q Em 59.7681633
Q Em 59.8146032
Q Em 59.8610431
Q Em 59.9074830
Q Em 59.9539229
Q Em 60.0003628
Q Em 60.0468027
Q Em 60.0932426
Q Em 60.1396825
Q Em 60.1861224
J A 60.2325624
J A 60.2790023
J A 60.3254422
J A 60.3718821
J A 60.4183220
J A 60.4647619
J A 60.5112018
J A 60.5576417
J A 60.6040816
J A 60.6505215
J A 60.6969615
J A 60.7434014
J A 60.7898413
J A 60.8362812
J A 60.8827211
J A 60.9291610
J A 60.9756009
E E 61.0220408
E E 61.0684807
E E 61.1149206
E E 61.1613605
E E 61.2078005
E E 61.2542404
E E 61.3006803
E E 61.3471202
E E 61.3935601
E E 61.4400000
E E 61.4864399
E E 61.5328798
E E 61.5793197
E E 61.6257596
E E 61.6721995
E E 61.7186395
E E 61.7650794
E E 61.8115193
E E 61.8579592
E E 61.9043991
E E 61.9508390
E E 61.9972789
E E 62.0437188
E E 62.0901587
E E 62.1365986
E E 62.1830385
E E 62.2294785
E E 62.2759184
A C 62.3223583
A C 62.3687982
A C 62.4152381
A C 62.4616780
A C 62.5081179
A C 62.5545578
A C 62.6009977
A C 62.6474376
A C 62.6938776
A C 62.7403175
A C 62.7867574
A C 62.8331973
A C 62.8796372
A C 62.9260771
A C 62.9725170
A C 63.0189569
A C 63.0653968
A C 63.1118367
A C 63.1582766
A C 63.2047166
A C 63.2511565
A C 63.2975964
A C 63.3440363
A C 63.3904762
A C 63.4369161
A C 63.4833560
J A 63.5297959
J A 63.5762358
J A 63.6226757
J A 63.6691156
J A 63.7155556
J A 63.7619955
J A 63.8084354
J A 63.8548753
J A 63.9013152
J A 63.9477551
J A 63.9941950
J A 64.0406349
J A 64.0870748
J A 64.1335147
J A 64.1799546
J A 64.2263946
J A 64.2728345
J A 64.3192744
J A 64.3657143
J A 64.4121542
J A 64.4585941
J A 64.5050340
J A 64.5514739
J A 64.5979138
J A 64.6443537
J A 64.6907937
