J A 30.7896599
J A 30.8360998
J A 30.8825397
J A 30.9289796
J A 30.9754195
J A 31.0218594
J A 31.0682993
J A 31.1147392
A C 31.1611791
A C 31.2076190
A C 31.2540590
A C 31.3004989
A C 31.3469388
A C 31.3933787
A C 31.4398186
A C 31.4862585
A C 31.5326984
A C 31.5791383
T Gm 31.6255782
H G 31.6720181
H G 31.7184580
H G 31.7648980
H G 31.8113379
H G 31.8577778
H G 31.9042177
J A 31.9506576
J A 31.9970975
J A 32.0435374
J A 32.0899773
J A 32.1364172
J A 32.1828571
J A 32.2292971
J A 32.2757370
J A 32.3221769
H G 32.3686168
H G 32.4150567
H G 32.4614966
H G 32.5079365
H G 32.5543764
J A 32.6008163
J A 32.6472562
J A 32.6936961
J A 32.7401361
J A 32.7865760
J A 32.8330159
A C 32.8794558
A C 32.9258957
A C 32.9723356
A C 33.0187755
A C 33.0652154
A C 33.1116553
A C 33.1580952
A C 33.2045351
A C 33.2509751
A C 33.2974150
A C 33.3438549
A C 33.3902948
A C 33.4367347
T Gm 33.4831746
T Gm 33.5296145
H G 33.5760544
H G 33.6224943
H G 33.6689342
H G 33.7153741
H G 33.7618141
J A 33.8082540
J A 33.8546939
J A 33.9011338
J A 33.9475737
J A 33.9940136
J A 34.0404535
J A 34.0868934
J A 34.1333333
J A 34.1797732
J A 34.2262132
J A 34.2726531
J A 34.3190930
J A 34.3655329
J A 34.4119728
J A 34.4584127
J A 34.5048526
J A 34.5512925
J A 34.5977324
J A 34.6441723
J A 34.6906122
J A 34.7370522
J A 34.7834921
J A 34.8299320
J A 34.8763719
A C 34.9228118
A C 34.9692517
A C 35.0156916
A C 35.0621315
A C 35.1085714
A C 35.1550113
A C 35.2014512
A C 35.2478912
A C 35.2943311
A C 35.3407710
T Gm 35.3872109
T Gm 35.4336508
H G 35.4800907
H G 35.5265306
H G 35.5729705
H G 35.6194104
J A 35.6658503
J A 35.7122902
J A 35.7587302
J A 35.8051701
J A 35.8516100
J A 35.8980499
J A 35.9444898
J A 35.9909297
J A 36.0373696
J A 36.0838095
H G 36.1302494
H G 36.1766893
H G 36.2231293
H G 36.2695692
H G 36.3160091
J A 36.3624490
J A 36.4088889
J A 36.4553288
J A 36.5017687
J A 36.5482086
J A 36.5946485
J A 36.6410884
A C 36.6875283
A C 36.7339683
A C 36.7804082
A C 36.8268481
A C 36.8732880
A C 36.9197279
A C 36.9661678
A C 37.0126077
A C 37.0590476
A C 37.1054875
A C 37.1519274
A C 37.1983673
T Gm 37.2448073
H G 37.2912472
H G 37.3376871
H G 37.3841270
H G 37.4305669
H G 37.4770068
H G 37.5234467
J A 37.5698866
J A 37.6163265
J A 37.6627664
J A 37.7092063
J A 37.7556463
J A 37.8020862
J A 37.8485261
J A 37.8949660
J A 37.9414059
J A 37.9878458
H G 38.0342857
H G 38.0807256
H G 38.1271655
H G 38.1736054
J A 38.2200454
J A 38.2664853
J A 38.3129252
J A 38.3593651
J A 38.4058050
J A 38.4522449
A C 38.4986848
A C 38.5451247
A C 38.5915646
A C 38.6380045
A C 38.6844444
A C 38.7308844
A C 38.7773243
A C 38.8237642
A C 38.8702041
A C 38.9166440
A C 38.9630839
A C 39.0095238
A C 39.0559637
A C 39.1024036
T Gm 39.1488435
H G 39.1952834
H G 39.2417234
H G 39.2881633
H G 39.3346032
H G 39.3810431
J A 39.4274830
J A 39.4739229
J A 39.5203628
J A 39.5668027
J A 39.6132426
J A 39.6596825
J A 39.7061224
J A 39.7525624
J A 39.7990023
J A 39.8454422
J A 39.8918821
J A 39.9383220
J A 39.9847619
J A 40.0312018
J A 40.0776417
J A 40.1240816
J A 40.1705215
J A 40.2169615
J A 40.2634014
J A 40.3098413
A C 40.3562812
A C 40.4027211
A C 40.4491610
A C 40.4956009
A C 40.5420408
A C 40.5884807
A C 40.6349206
A C 40.6813605
A C 40.7278005
A C 40.7742404
A C 40.8206803
A C 40.8671202
A C 40.9135601
A C 40.9600000
T Gm 41.0064399
H G 41.0528798
H G 41.0993197
H G 41.1457596
H G 41.1921995
H G 41.2386395
J A 41.2850794
J A 41.3315193
J A 41.3779592
J A 41.4243991
J A 41.4708390
J A 41.5172789
J A 41.5637188
J A 41.6101587
J A 41.6565986
J A 41.7030385
J A 41.7494785
J A 41.7959184
H G 41.8423583
H G 41.8887982
H G 41.9352381
J A 41.9816780
J A 42.0281179
J A 42.0745578
J A 42.1209977
J A 42.1674376
J A 42.2138776
